city,helpful_reader,hotel_locality,reviewer_location,hotel_url,title,content,hotel_address,hotel_name,hotel_review_stars,hotel_review_qty,review_stars,hotel_classs
Dieburg,1,"64807 Dieburg, Hessen, ","Roskilde, Dänemark",https://www.tripadvisor.de/Hotel_Review-g2049630-d2183470-Reviews-Mainzer_Hof-Dieburg_Hesse.html,Wieder ein guter Aufenhalt! :o),"
Das ist das zweite Mal, dass wir im Mainzer Hof gewohnt haben und wie beim ersten Mal ist es für uns das beste Hotel in Dieburg. Sehr zentral, schöne Zimmer, saubere Badezimmer, freundliches Personal. Wir kommen wieder! :o)
",Markt 22, Mainzer Hof ,3.5 von fünf Punkten,7 Bewertungen,4 von fünf Punkten,2.0 von 5
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,Großzügiges Zimmer,"
Wir waren zwei Nächte in Münster und sind nach der ersten Nacht in einer anderen Unterkunft umgezogen. War problemlos möglich auch schon am frühen Morgen ein zu checken und wir haben für 3 Personen ein 4 Bett Zimmer bekommen. Nicht sehr modern eingerichtet aber sauber und die preisleistung stimmt mit Frühstück inbegriffen.
",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,4 von fünf Punkten,
Groß-Zimmern,,"64846 Groß-Zimmern, Hessen, ","Wollongong, Australien",https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,"Komfortabel, aber ein Ventilator würde nicht schaden","
Wir haben hier übernachtet, weil das Hotel nahe bei Frankfurt liegt, wo am nächsten Tag unser Flug starten sollte. Das Zimmer war groß und bot jede Menge Platz und das Bad war riesig mit einer Dusche mit einem starken Wasserstrahl. Allerdings lassen sich die Fenster nicht sehr weit öffnen und es gibt keine Klimaanlage, deshalb war es an diesem ersten heißen Tag des Sommers beim Einschlafen sehr ungemütlich. Keine Klimaanlage, da diese offensichtlich in Deutschland nicht sehr beliebt sind. Tolles Frühstück und freundliches Personal.
",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,4 von fünf Punkten,3.0 von 5
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,Sehr gutes hotel,"
Alles sauber, Bett gemütlich!",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,5 von fünf Punkten,3.0 von 5
Dieburg,4,"64807 Dieburg, Hessen, ",Darmstadt,https://www.tripadvisor.de/Hotel_Review-g2049630-d1752784-Reviews-Hotel_Restaurant_Monte_Somma-Dieburg_Hesse.html,Unfreundlich und schlechter Service,"
Wir waren für 2 Nächte mit einer größeren Gruppe in dem Hotel. Die Zimmerbelegung änderte sich durch unterschiedliche An- und Abreisen der Gruppenmitglieder. Obwohl die genauen Daten vorab besprochen und per Email übermittelt waren, lagen diese Informationen bei Ankunft nicht vor und die getroffenen Absprachen wurden bis zur Abreise immer wieder in Abrede gestellt. Neben der unfreundlichen, leicht ruppigen Art der Chefin war insbesondere sehr ärgerlich, dass sie ständig versuchte, Einzelzimmerbelegungen als Doppelzimmer abzurechnen, weshalb es am Ende sogar heftigen und lauten Streit gab.",Altheimer Str. 35, Hotel Restaurant Monte Somma ,3.5 von fünf Punkten,3 Bewertungen,1 von fünf Punkten,
Dieburg,4,"64807 Dieburg, Hessen, ","Mannheim, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2049630-d1752784-Reviews-Hotel_Restaurant_Monte_Somma-Dieburg_Hesse.html,Super PreisLeistung und leckere Pizza,"
Ich war für 2 Tage im Hotel Monte Somma und kann es nur weiterempfehlen. Vor allem das dazugehörige Restaurant ist zu empfehlen, dort gibt es eine ausgezeichnete Pizza. Aber auch die Fisch und Fleischgerichte sind sehr zu lecker. Hier stimmt das Preisleistungsverhältnis. Der schöne Biergarten mit Terasse ist im Sommer sehr gemütlich.
",Altheimer Str. 35, Hotel Restaurant Monte Somma ,3.5 von fünf Punkten,3 Bewertungen,5 von fünf Punkten,
Dieburg,1,"64807 Dieburg, Hessen, ","Köln, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2049630-d2183470-Reviews-Mainzer_Hof-Dieburg_Hesse.html,erste und einzige wahl am platz,"
Mit navi nahezu nicht zu finden und nur wenige Parkplätze im Hof liegt es trotzdem direkt am Marktplatz und sehr zentral. Das Personal wirkte dezent überfordert mit der Ankunft einer Gruppe von 10 Personen. Direkt im Eingang erschlägt einen der stickige Geruch von der nicht direkt zum Hotel gehörenden aber direkt angrenzenden bar.",Markt 22, Mainzer Hof ,3.5 von fünf Punkten,7 Bewertungen,3 von fünf Punkten,2.0 von 5
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,"Einfach, aber Preis- Leistungsverhältnis ok","
Es handelt sich um ein einfaches Hotel ohne jeglichen Komfort, der Preis von 62 Euro inkl. Frühstück ist jedoch angemessen. Die Zimmer sind sauber und ausreichend groß für eine oder zwei Nächte, für einen längeren Aufenthalt würde ich ein anderes Hotel wählen. Im gleichen Haus befindet sich das Restaurant “Auszeit“, dort erhält man als Hotelgast 10% Rabatt auf alle Speisen und Getränke. W-Lan ist gratis verfügbar. Das Frühstück war gut.
",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,3 von fünf Punkten,3.0 von 5
Groß-Zimmern,5,"64846 Groß-Zimmern, Hessen, ","Frankfurt am Main, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,Höhen und Tiefen,"
Das Hotel liegt zwischen Darmstadt und Frankfurt, etwas östlich, näher an Darmstadt. Demzufolge für Aufenthalte in FFM nicht so gut geeignet.",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,3 von fünf Punkten,3.0 von 5
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ","Neumünster, Deutschland",https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,"Preiswert , sauber und sehr freundlich","
Sehr netter Empfang, sauberes großes Zimmer, sehr gutes italienisches Restaurant im Haus, also alles TIP-TOP. Wir kommen gerne wieder. Das Personal war bei An- bzw. Abreise sehr freundlich und zuvorkommend. Bei fragen nach Ausflugszielen, wurde man sehr gut informiert und beraten. Die Ausstattung der Zimmer im Gästehaus ist zwar älter, aber die Sauberkeit der Zimmer ist sehr vorbildlich!
",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,5 von fünf Punkten,
